customer_id,trans_date,tran_amount,response,Month,Year
CS5295,2013-02-11,35,1,2,2013
CS4768,2015-03-15,39,1,3,2015
CS2122,2013-02-26,52,0,2,2013
CS1217,2011-11-16,99,0,11,2011
CS1850,2013-11-20,78,0,11,2013
CS5539,2014-03-26,81,0,3,2014
CS2724,2012-02-06,93,0,2,2012
CS5902,2015-01-30,89,0,1,2015
CS6040,2013-01-08,76,0,1,2013
CS3802,2013-08-20,75,1,8,2013
CS3494,2013-07-02,94,0,7,2013
CS3780,2013-03-25,80,0,3,2013
CS1171,2012-11-03,59,0,11,2012
CS2892,2013-05-12,43,0,5,2013
CS5552,2014-12-29,78,0,12,2014
CS6043,2014-01-15,98,0,1,2014
CS4147,2013-07-08,81,0,7,2013
CS4655,2013-12-30,93,0,12,2013
CS3904,2014-07-20,103,0,7,2014
CS4102,2011-07-09,96,0,7,2011
CS2086,2013-03-05,75,0,3,2013
CS6085,2013-01-09,49,0,1,2013
CS1328,2013-02-06,54,0,2,2013
CS4564,2012-03-27,48,0,3,2012
CS5910,2012-01-01,98,0,1,2012
CS2748,2013-03-23,37,1,3,2013
CS5147,2013-04-29,72,0,4,2013
CS1770,2012-11-02,83,0,11,2012
CS3510,2011-10-24,81,0,10,2011
CS2509,2011-12-05,105,0,12,2011
CS2859,2015-02-27,77,0,2,2015
CS1512,2015-02-21,71,0,2,2015
CS4148,2013-08-22,48,0,8,2013
CS1735,2012-03-31,70,0,3,2012
CS1588,2012-01-27,70,0,1,2012
CS5514,2013-01-09,36,1,1,2013
CS5933,2013-10-07,48,0,10,2013
CS2797,2014-03-06,87,1,3,2014
CS5313,2012-12-02,88,0,12,2012
CS5966,2012-03-09,39,0,3,2012
CS5211,2014-05-18,51,0,5,2014
CS1511,2015-01-13,47,0,1,2015
CS6087,2014-11-24,37,0,11,2014
CS5909,2012-02-04,80,0,2,2012
CS2845,2013-03-08,105,0,3,2013
CS1433,2012-11-05,78,0,11,2012
CS4897,2014-04-12,45,1,4,2014
CS2296,2012-12-28,79,0,12,2012
CS1494,2013-06-29,59,0,6,2013
CS3688,2014-06-19,55,0,6,2014
CS2287,2011-12-23,94,0,12,2011
CS3779,2011-06-26,69,0,6,2011
CS1423,2014-06-05,78,0,6,2014
CS2501,2012-11-14,59,1,11,2012
CS3434,2013-02-22,98,0,2,2013
CS2662,2014-08-31,88,0,8,2014
CS2209,2012-03-12,35,0,3,2012
CS4530,2011-06-05,40,0,6,2011
CS2848,2013-02-04,53,0,2,2013
CS2596,2011-09-19,55,0,9,2011
CS4421,2012-05-20,86,0,5,2012
CS4905,2012-04-13,93,0,4,2012
CS5704,2011-12-04,79,0,12,2011
CS2403,2014-07-27,94,1,7,2014
CS5480,2012-01-28,63,1,1,2012
CS5811,2013-08-23,91,1,8,2013
CS2051,2014-12-09,101,0,12,2014
CS3957,2012-08-30,69,0,8,2012
CS4704,2014-11-25,41,0,11,2014
CS2289,2012-05-19,67,0,5,2012
CS5218,2014-06-21,45,0,6,2014
CS4637,2011-05-20,71,1,5,2011
CS3158,2012-05-06,91,0,5,2012
CS4176,2012-07-30,49,0,7,2012
CS1939,2011-11-25,101,0,11,2011
CS5403,2011-12-01,64,0,12,2011
CS5489,2014-12-02,77,0,12,2014
CS4563,2011-05-30,101,0,5,2011
CS3508,2012-05-23,67,0,5,2012
CS2703,2014-10-12,40,1,10,2014
CS2596,2013-05-01,76,0,5,2013
CS5990,2012-10-19,103,0,10,2012
CS4215,2011-07-09,54,0,7,2011
CS4811,2012-01-26,77,1,1,2012
CS2070,2013-01-30,41,0,1,2013
CS3419,2015-01-29,38,0,1,2015
CS3668,2014-08-14,102,0,8,2014
CS4623,2013-09-27,89,1,9,2013
CS4708,2013-07-02,48,0,7,2013
CS1816,2013-09-22,64,0,9,2013
CS5376,2013-12-08,44,0,12,2013
CS4568,2011-11-15,70,0,11,2011
CS1779,2012-01-27,53,0,1,2012
CS2447,2011-07-10,82,0,7,2011
CS1985,2011-08-16,87,0,8,2011
CS2544,2011-11-07,64,0,11,2011
CS2158,2012-09-11,89,0,9,2012
CS5776,2014-09-09,87,0,9,2014
CS5653,2013-09-04,98,0,9,2013
CS2291,2014-10-15,67,0,10,2014
CS6088,2012-10-29,48,0,10,2012
CS4245,2014-06-02,102,0,6,2014
CS3344,2014-07-02,56,0,7,2014
CS1481,2013-12-23,50,0,12,2013
CS5400,2011-12-23,56,0,12,2011
CS5463,2014-08-27,91,0,8,2014
CS5951,2014-08-07,104,1,8,2014
CS5515,2012-02-19,41,0,2,2012
CS3039,2012-05-01,92,0,5,2012
CS1836,2012-03-24,63,0,3,2012
CS4320,2014-04-09,52,1,4,2014
CS4889,2011-12-01,38,0,12,2011
CS1319,2011-09-26,95,0,9,2011
CS4859,2015-01-07,50,1,1,2015
CS4148,2014-02-08,40,0,2,2014
CS5264,2013-04-03,81,0,4,2013
CS4041,2014-12-29,49,0,12,2014
CS2183,2013-01-04,39,0,1,2013
CS2516,2015-02-15,55,0,2,2015
CS1890,2012-11-03,37,0,11,2012
CS3730,2013-02-11,89,1,2,2013
CS5382,2013-03-07,48,1,3,2013
CS5970,2014-06-13,40,0,6,2014
CS5260,2015-01-30,46,1,1,2015
CS2437,2011-11-13,90,0,11,2011
CS4675,2011-09-11,67,0,9,2011
CS2920,2011-10-11,87,0,10,2011
CS2548,2013-09-28,73,1,9,2013
CS1818,2011-12-26,46,0,12,2011
CS6098,2012-09-28,42,1,9,2012
CS2712,2011-12-26,65,0,12,2011
CS2714,2011-12-14,69,0,12,2011
CS2615,2013-08-17,39,0,8,2013
CS5445,2014-07-27,72,0,7,2014
CS5812,2014-11-02,62,0,11,2014
CS4636,2013-09-22,66,0,9,2013
CS3147,2014-06-04,84,1,6,2014
CS1273,2012-02-01,91,0,2,2012
CS4243,2011-11-11,48,0,11,2011
CS2357,2012-04-13,71,0,4,2012
CS1776,2014-05-03,79,0,5,2014
CS5643,2013-03-02,104,0,3,2013
CS4522,2015-03-06,82,0,3,2015
CS2418,2015-02-01,51,0,2,2015
CS1330,2014-11-21,41,0,11,2014
CS1195,2014-12-29,83,0,12,2014
CS4306,2015-03-07,54,0,3,2015
CS2137,2013-09-29,73,0,9,2013
CS3518,2013-06-19,54,0,6,2013
CS5835,2011-09-18,52,1,9,2011
CS4701,2015-01-15,95,0,1,2015
CS4548,2012-06-28,38,0,6,2012
CS2384,2012-10-15,35,0,10,2012
CS4081,2013-02-17,74,0,2,2013
CS5976,2012-01-02,99,0,1,2012
CS3874,2011-09-08,44,0,9,2011
CS5356,2014-06-17,105,1,6,2014
CS4667,2014-09-17,66,0,9,2014
CS4328,2012-06-04,56,0,6,2012
CS3291,2013-08-02,42,0,8,2013
CS4282,2011-09-11,44,0,9,2011
CS4331,2011-09-25,70,0,9,2011
CS1243,2013-03-17,36,0,3,2013
CS2390,2014-05-20,104,0,5,2014
CS2207,2014-04-05,71,0,4,2014
CS1270,2011-11-18,104,0,11,2011
CS1219,2014-11-11,91,0,11,2014
CS5427,2012-11-13,96,1,11,2012
CS5474,2011-05-18,69,0,5,2011
CS5109,2012-05-23,92,0,5,2012
CS5287,2015-03-14,94,0,3,2015
CS3477,2013-05-05,80,0,5,2013
CS3970,2011-12-13,86,0,12,2011
CS5760,2011-12-08,59,0,12,2011
CS2149,2013-04-04,83,0,4,2013
CS4934,2014-07-19,80,1,7,2014
CS1517,2013-10-18,89,0,10,2013
CS1641,2012-12-29,64,0,12,2012
CS2187,2011-11-19,70,0,11,2011
CS5359,2014-08-12,96,0,8,2014
CS3124,2011-12-08,71,0,12,2011
CS1721,2012-08-30,96,0,8,2012
CS5212,2015-01-22,42,0,1,2015
CS5111,2011-08-23,81,1,8,2011
CS3137,2012-04-04,67,0,4,2012
CS1511,2015-01-25,69,0,1,2015
CS2509,2014-02-23,92,0,2,2014
CS5994,2014-01-11,42,0,1,2014
CS2613,2013-08-25,103,0,8,2013
CS1934,2014-08-18,89,0,8,2014
CS3127,2011-10-02,39,0,10,2011
CS5225,2014-03-18,104,1,3,2014
CS1815,2012-11-17,83,0,11,2012
CS3552,2014-04-27,102,0,4,2014
CS1893,2013-11-17,42,0,11,2013
CS3621,2013-10-26,56,0,10,2013
CS4330,2013-07-17,59,0,7,2013
CS4991,2013-07-20,90,0,7,2013
CS2312,2013-10-22,37,0,10,2013
CS2359,2012-06-04,90,1,6,2012
CS4798,2012-12-06,84,1,12,2012
CS2507,2012-06-28,94,0,6,2012
CS1430,2014-09-02,71,0,9,2014
CS3787,2013-10-23,48,0,10,2013
CS4103,2013-04-14,89,0,4,2013
CS2881,2012-09-24,54,0,9,2012
CS1854,2011-09-29,74,0,9,2011
CS2863,2012-12-23,102,0,12,2012
CS5292,2013-09-04,64,1,9,2013
CS3184,2012-01-07,88,0,1,2012
CS2049,2013-10-07,66,0,10,2013
CS2832,2013-07-16,105,0,7,2013
CS2251,2013-04-12,99,0,4,2013
CS5667,2014-02-25,66,0,2,2014
CS1327,2012-02-19,38,0,2,2012
CS4927,2013-08-12,37,0,8,2013
CS2302,2012-09-09,100,0,9,2012
CS3901,2012-09-11,82,0,9,2012
CS5762,2013-04-21,85,0,4,2013
CS2289,2012-03-13,89,0,3,2012
CS2867,2012-02-09,56,1,2,2012
CS2359,2014-08-10,87,1,8,2014
CS5814,2011-12-12,72,1,12,2011
CS5129,2011-06-21,102,0,6,2011
CS2597,2012-06-03,42,0,6,2012
CS5838,2012-09-01,96,0,9,2012
CS5800,2012-04-23,86,0,4,2012
CS3786,2013-07-16,66,0,7,2013
CS3659,2012-05-19,77,0,5,2012
CS4400,2011-09-03,97,0,9,2011
CS3026,2012-06-03,55,0,6,2012
CS3632,2013-02-10,72,0,2,2013
CS1452,2012-03-23,79,0,3,2012
CS5140,2014-07-11,97,0,7,2014
CS5383,2013-12-29,73,0,12,2013
CS4695,2013-09-17,48,0,9,2013
CS2368,2012-08-10,66,0,8,2012
CS2066,2011-07-15,51,0,7,2011
CS5277,2011-07-12,90,1,7,2011
CS3025,2011-12-30,72,1,12,2011
CS4802,2011-06-25,45,0,6,2011
CS6001,2014-02-16,63,0,2,2014
CS3981,2014-09-20,74,0,9,2014
CS3885,2014-04-29,56,0,4,2014
CS5546,2012-08-28,79,0,8,2012
CS4964,2014-05-20,79,0,5,2014
CS4881,2014-01-21,55,0,1,2014
CS4103,2014-03-02,40,0,3,2014
CS5884,2012-12-19,97,0,12,2012
CS2765,2013-04-18,88,0,4,2013
CS4438,2014-07-05,72,1,7,2014
CS2234,2014-12-21,36,0,12,2014
CS3015,2014-01-30,58,0,1,2014
CS3755,2015-01-01,45,0,1,2015
CS3927,2014-03-25,77,1,3,2014
CS5799,2012-11-08,101,0,11,2012
CS5708,2011-06-03,89,0,6,2011
CS3695,2013-04-20,51,0,4,2013
CS1969,2014-10-23,39,0,10,2014
CS3854,2014-11-09,104,1,11,2014
CS3416,2015-02-23,57,0,2,2015
CS1414,2013-12-01,104,0,12,2013
CS4732,2013-03-27,96,0,3,2013
CS2493,2012-12-29,85,0,12,2012
CS5851,2013-01-19,98,0,1,2013
CS1678,2014-05-09,48,0,5,2014
CS2049,2013-03-19,36,0,3,2013
CS3676,2011-09-27,43,0,9,2011
CS4853,2012-03-27,68,0,3,2012
CS4292,2014-03-04,98,0,3,2014
CS3152,2014-12-15,40,0,12,2014
CS5640,2014-01-13,77,0,1,2014
CS5857,2012-09-26,85,0,9,2012
CS1472,2014-04-12,72,0,4,2014
CS3888,2012-02-22,70,0,2,2012
CS5563,2013-06-23,70,0,6,2013
CS5104,2012-09-17,99,0,9,2012
CS6109,2013-11-01,92,0,11,2013
CS2352,2014-10-06,62,1,10,2014
CS4024,2014-02-01,39,0,2,2014
CS1499,2011-12-24,91,0,12,2011
CS3071,2012-09-15,39,0,9,2012
CS5638,2014-12-16,58,0,12,2014
CS5533,2013-05-16,73,0,5,2013
CS1961,2012-03-29,75,0,3,2012
CS1707,2011-09-15,105,0,9,2011
CS3692,2014-09-17,48,0,9,2014
CS1275,2011-12-28,102,0,12,2011
CS4738,2013-03-20,37,0,3,2013
CS3732,2011-06-12,83,1,6,2011
CS5676,2013-12-16,44,0,12,2013
CS4111,2012-07-26,54,0,7,2012
CS2074,2015-01-05,79,0,1,2015
CS5815,2015-01-03,92,0,1,2015
CS5094,2015-03-07,84,0,3,2015
CS5431,2013-01-05,55,0,1,2013
CS4540,2014-08-13,55,1,8,2014
CS1891,2013-03-25,84,0,3,2013
CS4389,2013-03-22,70,1,3,2013
CS4412,2012-01-07,47,0,1,2012
CS1697,2014-07-13,98,0,7,2014
CS2720,2012-04-11,72,0,4,2012
CS1152,2012-08-04,71,0,8,2012
CS3796,2013-09-14,37,0,9,2013
CS6066,2013-08-23,66,0,8,2013
CS2643,2014-07-20,69,0,7,2014
CS6056,2014-03-22,104,0,3,2014
CS3489,2013-01-09,76,0,1,2013
CS5229,2011-11-23,58,0,11,2011
CS4649,2014-12-16,93,0,12,2014
CS4372,2014-08-27,71,0,8,2014
CS1790,2012-10-04,100,0,10,2012
CS1475,2012-08-20,73,0,8,2012
CS2452,2014-04-05,77,0,4,2014
